X,Y,Disp_x,Disp_y
0.48,-0.0475,-0.0207936498550428,-0.105504372744675
0.4825,-0.0475,-0.0209019667566143,-0.106601811883753
0.485,-0.0475,-0.0210102739002936,-0.107704989896732
0.4875,-0.0475,-0.0211185666128398,-0.108813919491353
0.49,-0.0475,-0.0212268390999598,-0.109928619797924
0.4925,-0.0475,-0.0213350863715666,-0.111049120238034
0.495,-0.0475,-0.0214433122983284,-0.112175466837051
0.4975,-0.0475,-0.0215515585069359,-0.113307731733842
0.5,-0.0475,-0.02166,-0.11444598062012
0,-0.045,0,-0.000391452771679313
0.0025,-0.045,-0.000102301260061828,-0.000394825953996313
0.005,-0.045,-0.000204871702999118,-0.000404051846211079
0.0075,-0.045,-0.000307559239113205,-0.00041890471774156
0.01,-0.045,-0.000410237066084353,-0.000439313944623425
0.0125,-0.045,-0.000512888518718667,-0.00046531677780022
0.015,-0.045,-0.000615517161382838,-0.000496945695513304
0.0175,-0.045,-0.000718128933634844,-0.00053422194688812
0.02,-0.045,-0.000820728803185431,-0.000577159165925296
0.0225,-0.045,-0.000923320428885533,-0.000625766343732954
0.025,-0.045,-0.00102590641604217,-0.000680049647412367
0.0275,-0.045,-0.0011284886142837,-0.000740013484583047
0.03,-0.045,-0.00123106834873075,-0.000805661129861142
0.0325,-0.045,-0.00133364658124938,-0.000876995101668015
0.035,-0.045,-0.00143622401910471,-0.000954017395326572
0.0375,-0.045,-0.00153880118773918,-0.00103672963167697
0.04,-0.045,-0.00164137847993314,-0.00112513315472849
0.0425,-0.045,-0.00174395618956419,-0.00121922909770858
0.045,-0.045,-0.00184653453528598,-0.00131901842897424
0.0475,-0.045,-0.00194911367753368,-0.00142450198475748
0.05,-0.045,-0.00205169373104042,-0.00153568049309834
0.0525,-0.045,-0.00215427477427474,-0.00165255459175269
0.055,-0.045,-0.00225685685672038,-0.00177512484190117
0.0575,-0.045,-0.00235944000460853,-0.00190339173887988
0.06,-0.045,-0.00246202422551276,-0.00203735572076361
0.0625,-0.045,-0.00256460951208767,-0.0021770171753748
0.065,-0.045,-0.00266719584514673,-0.00232237644611941
0.0675,-0.045,-0.00276978319621863,-0.00247343383693292
0.07,-0.045,-0.00287237152968306,-0.00263018961653855
0.0725,-0.045,-0.00297496080456135,-0.00279264402216345
0.075,-0.045,-0.0030775509760189,-0.00296079726281824
0.0775,-0.045,-0.00318014199662453,-0.00313464952221764
0.08,-0.045,-0.00328273381740225,-0.00331420096139965
0.0825,-0.045,-0.003385326388705,-0.00349945172108646
0.085,-0.045,-0.00348791966093469,-0.00369040192382036
0.0875,-0.045,-0.00359051358512953,-0.00388705167590044
0.09,-0.045,-0.00369310811343643,-0.00408940106914076
0.0925,-0.045,-0.00379570319948431,-0.00429745018246695
0.095,-0.045,-0.00389829879867187,-0.0045111990833655
0.0975,-0.045,-0.00400089486838198,-0.00473064782919813
0.1,-0.045,-0.00410349136813353,-0.00495579646839202
0.1025,-0.045,-0.00420608825968003,-0.00518664504151578
0.105,-0.045,-0.00430868550706345,-0.00542319358225007
0.1075,-0.045,-0.00441128307663071,-0.00566544211826118
0.11,-0.045,-0.00451388093701936,-0.00591339067198533
0.1125,-0.045,-0.0046164790591181,-0.00616703926133082
0.115,-0.045,-0.00471907741600727,-0.00642638790030503
0.1175,-0.045,-0.00482167598288352,-0.00669143659957242
0.12,-0.045,-0.00492427473697252,-0.00696218536694969
0.1225,-0.045,-0.005026873657433,-0.0072386342078437
0.125,-0.045,-0.0051294727252547,-0.00752078312563739
0.1275,-0.045,-0.00523207192315272,-0.00780863212202863
0.13,-0.045,-0.00533467123546017,-0.00810218119732661
0.1325,-0.045,-0.00543727064802076,-0.00840143035071002
0.135,-0.045,-0.00553987014808267,-0.00870637958045081
0.1375,-0.045,-0.00564246972419469,-0.00901702888410739
0.14,-0.045,-0.00574506936610564,-0.00933337825869044
0.1425,-0.045,-0.00584766906466755,-0.00965542770080434
0.145,-0.045,-0.0059502688117432,-0.00998317720676717
0.1475,-0.045,-0.00605286860011836,-0.0103166267727117
0.15,-0.045,-0.00615546842341882,-0.0106557763946696
0.1525,-0.045,-0.00625806827603256,-0.0110006260686411
0.155,-0.045,-0.00636066815303688,-0.0113511757906522
0.1575,-0.045,-0.00646326805013058,-0.0117074255567998
0.16,-0.045,-0.00656586796357106,-0.0120693753632889
0.1625,-0.045,-0.00666846789011619,-0.0124370252064599
