X,Y,Sigma_x,Sigma_y,Tau_xy
0.325,-0.0475,-47.3895725495416,5.26317737244616e-07,-8.06109492546928e-06
0.3275,-0.0475,-47.389565677148,4.91238276723038e-07,-8.15790540533342e-06
0.33,-0.0475,-47.3895588636863,4.39850407947991e-07,-8.14707748557815e-06
0.3325,-0.0475,-47.3895522317996,3.69121316623477e-07,-8.00330121264459e-06
0.335,-0.0475,-47.3895459301982,2.75610049153367e-07,-7.69742013718525e-06
0.3375,-0.0475,-47.3895401374258,1.55418300451515e-07,-7.1960067534275e-06
0.34,-0.0475,-47.3895350659954,4.17093914961697e-09,-6.46090468874501e-06
0.3425,-0.0475,-47.3895309669714,-1.83041413729749e-07,-5.44871042871635e-06
0.345,-0.0475,-47.3895281350101,-4.11713595364442e-07,-4.11026751096869e-06
0.3475,-0.0475,-47.3895269138434,-6.8795322564578e-07,-2.39010970559672e-06
0.35,-0.0475,-47.3895277022641,-1.01852634415422e-06,-2.2588751383279e-07
0.3525,-0.0475,-47.3895309606097,-1.41089495938237e-06,2.45221757429655e-06
0.355,-0.0475,-47.3895372177323,-1.87326168502959e-06,5.72209476383996e-06
0.3575,-0.0475,-47.3895470784869,-2.41459652509472e-06,9.67028941253889e-06
0.36,-0.0475,-47.3895612316592,-3.04466075995435e-06,1.43925900826976e-05
0.3625,-0.0475,-47.3895804583796,-3.77399655408321e-06,1.99945505166832e-05
0.365,-0.0475,-47.3896056408788,-4.6139410502614e-06,2.65919842840726e-05
0.3675,-0.0475,-47.3896377715916,-5.57659789931127e-06,3.43113599640676e-05
0.37,-0.0475,-47.3896779624381,-6.67477369376002e-06,4.32900859319111e-05
0.3725,-0.0475,-47.3897274541837,-7.92189447610762e-06,5.36766374368188e-05
0.375,-0.0475,-47.3897876256829,-9.33189101104404e-06,6.56304706877035e-05
0.3775,-0.0475,-47.389860002772,-1.09190244283279e-05,7.93216781716788e-05
0.38,-0.0475,-47.389946266492,-1.26976331700964e-05,9.49303094252655e-05
0.3825,-0.0475,-47.3900482603586,-1.46818508598064e-05,0.000112645285179393
0.385,-0.0475,-47.390167996153,-1.68852029472551e-05,0.000132662794538903
0.3875,-0.0475,-47.390307657744,-1.93201351468275e-05,0.00015518407237299
0.39,-0.0475,-47.3904696022968,-2.1997377422404e-05,0.000180412421754067
0.3925,-0.0475,-47.3906563580547,-2.49252051454836e-05,0.00020854935977573
0.395,-0.0475,-47.3908706178578,-2.81085348413275e-05,0.000239789674270583
0.3975,-0.0475,-47.3911152272551,-3.15478279079665e-05,0.000274315241177418
0.4,-0.0475,-47.3913931659854,-3.52377781342265e-05,0.000312287366564486
0.4025,-0.0475,-47.3917075213711,-3.91657476512819e-05,0.000353837411109059
